Twitter Username,Post,Date Posted
@1rmf5,"since No PROOF Najib had anything to do with the TRANSFER exists...why should Najib be charged?

for as long as ""ITS DONE"" kannnnnnnnn","Feb 1, 2021"
@23Potteh,"While US still have ongoing trial for 1MDB it’s gonna be a face palm if we let go of klepto Najib out, the saga is never ending shows how big it is",Apr 7
@23Potteh,and yet nAjIB claim can get 9.7 profits from 1MDB ,"Mar 15, 2022"
@23Potteh,"i calculated 82billion lost from 1MDB, MRT3, LCS tu belum yang lain lagi, where we gonna find money like that? we gonna work like slaves, thanks UMNO and Najib","Aug 11, 2022"
@23Potteh,"no personal attack is one of the rules, tak best, tapi Najib won’t even come kalau sebut 1MDB byk2","May 12, 2022"
@2daMoonz,"Just like how we all assumed he is guilty without strong proof... Let UN do their job bcs as it is, Najib's downfall is very sketchy. For starters, a large scale project like 1MDB must be linked with many people but why only Najib acquitted?",Jan 5
@300thnow,"Malaysia’s former prime minister Najib Razak has been ordered to begin a 12-year prison sentence after he lost his final appeal against a conviction linked to the multibillion-dollar 1MDB scandal, one of the world’s biggest financial frauds, The Guradian reported.","Aug 24, 2022"
@41cornellie,"the #1MDB case is fked up bro like how many international celebrities are involved seriously??? ive heard about paris hilton, leonardo dicaprio , emily rata and now kimora lee?? the latest one i heard is miranda kerr. i- wow","Feb 23, 2022"
@491300363,"Najib is his successor who he picked him as PM himself.

1MDB is just the biggest Alibaba (bumi owned + Chinese run) GLC built on this old man's foundations.

SOSMA is just his ISA rebranded. 

All road leads back to himself",Apr 28
@5husui,And I’m sure KJ would have preferred to avoid the scrutiny as well by doing all this publicity stunts on 1MDB to trick people in trusting him when in fact he did not done shit like other UMNO top leadership that have been sacked for questioning 1MDB and Najib’s involvement.,"Nov 12, 2022"
@61_garuda,"Just wondering if Najib is so bangsat and 1MDB is truly a crime then how come

- someone else has an amassed wealth of USD45B but not him. 
-ctry’s reserve was high, ADB debt was paid off, KLCI bourse was performing very well

Care to elaborate?","Dec 20, 2020"
@61_garuda,"Obviously you have not been following the 1MDB trials closely. If you have, perhaps you would be commenting whether Najib has bern given a fair trial.

Btw, care to tell us why you are biased (pro DAP led Opp) in your analysis?","Jun 16, 2022"
@7reasu12e,"I know a lot of people hate Najib but aside from DSAI, Najib is one of a few leaders in Msia who knows about economy. His biggest downfall is 1mdb and having Rosmah as his wife lol. His first wife was much better than Rosmah.","Nov 26, 2022"
@7reasu12e,"It's actually shocking me seeing so many people actually supporting Najib for his competency as Finance Minister and PM. But tbh, so far, he's better than the rest. 1mdb is really his downfall.",Feb 16
@8dy9y5pqkz,"Too late, you should have done so during Najib's 1MDB. Your party has been rotting. Your party is also responsible for breeding racism. I still remember your keris welding at PWTC. Now, Malaysia has to bear the result of extremism. But it's better late than never.","Nov 22, 2022"
@9M2NBA,"how stupid can the people be until they can't see what's right in front of them. just like the 1MDB case la. you tell me Najib Razak, where is he now? The biggest clown of all ","Jul 6, 2021"
@A12389091,"Also known for allowing massive, Stupendously large frauds/theft - #1MDB","Jul 31, 2021"
@ACAMS_AML,"Ever heard of Jho Low and the 'Malaysian shuffle'?  

You might want to become familiar with the illicit money flows and shell companies that robbed #1MDB... ","Sep 5, 2022"
@AJ101East,"This comes after jeweller Lorraine Schwartz told a US court she struck a deal to create the 22-carat necklace for Najib’s wife Rosmah Mansor, which was allegedly purchased using money siphoned from Malaysian state fund 1MDB.","Mar 25, 2022"
@AKUANAKWATAN,"3. 1MDB-Tanore
- currently proceeding in high court.
- just extended to mid Nov 2023 at request of prosecutors
- eagerly awaiting for Zeti to take the stand but prosecutors keep delaying this.

4. 1MDB audit
- Najib fully acquitted in this case without defence being called.",Mar 3
@AKUANAKWATAN,"Even more strange is NONE of these evidence was allowed to be admitted by Najib for the 1MDB trial despite Najib's repeated applications nor was it ever offered by the prosecution during the enitre SRC and 1MDB trials.

On the contrary, some leaders from PH+PN even defended Zeti.","Dec 10, 2022"
@AKUANAKWATAN,"Given his direct involvement in the Maybank loan to 1MDB, Nazlan could very well end up as a witness in the 1MDB trial if defence is called.

Then we would have a very strange situation of trial judge who convicted Najib will also be a witness in the same related trial.",Feb 27
@AKUANAKWATAN,and 1MDB charges against Najib Razak were made up by the people in #PakatanHarapan and #PerikatanNasional who are still alive till today.,Jun 1
@AKUANAKWATAN,"𝗰𝗹𝗼𝘀𝗲𝗹𝘆 𝘄𝗶𝘁𝗵 #sithlordmahathir 𝘁𝗼 𝗽𝗿𝗲𝘃𝗲𝗻𝘁 #UMNO and #BN rising from ashes. 

the former prime minister has enough case to throw him and PAS under the bus with the accusation of 𝐫𝐞𝐜𝐞𝐢𝐯𝐢𝐧𝐠 𝐑𝐌 𝟗𝟎 𝐦𝐢𝐥𝐥𝐢𝐨𝐧 𝐢𝐧 #1MDB 𝐦𝐨𝐧𝐞𝐲.

the PAS","Feb 28, 2022"
@AKV9021,"Skipped the part on how Najib became PM, who masterminded toppling Pak Lah from within & how he defended Najib to the hilt against the 1MDB allegations on the GE13 campaign trail

Details, you know","Mar 1, 2022"
@AKV9021,"Yeah because PM7 gave the impression that 1MDB was ""Najib acting alone"", instead of investigating BNM's potential complicity at the time.

Now Jib & Co are using those glaring issues to shift perception towards ""1MDB salah semua orang kecuali Najib""","Feb 26, 2022"
@A_Hxrrxz,"Seeing how people still flock to Najib while chanting “Bossku” as he walks by, I feel there’s a comms failure on the impacts of 1MDB and other related scandals on the lives of everyday people.

We need more communicators like Mat Sabu and his “Najib pinjam dari Najib” stuff.","Oct 24, 2021"
@AbaGengGeng,He never backup Najib on 1MDB but he licked Najib throughout his youth leadership.,"Nov 20, 2022"
@Abdullah_Karim,It wasnt him who made the allegation. It was Claire Brown of @sarawak_report. And she didnt say 1MDB fund. She said Pas received RM90mil frm Najib. Pas President sued her in court but chickened out by withdrawing the suit.,"Jan 2, 2022"
@AdamHensem60,The idiotic najib wants populist view. Give more money to the rakyat. Make the rakyat happy with more money disburse. In reality when he gets power he will introduce all sorts of taxes which will suffocate the rakyat coz he had to pay 1mdb loan.,"May 13, 2022"
@AdamHensem60,The idiotic najib wants to ride on populist view. Give more money to the rakyat. Make the rakyat happy and delusional. In reality when he gets power he will introduce all sorts of taxes which will suffocate the rakyat just to serve 1mdb loan. Anwar was just telling the facts.,"May 13, 2022"
@AdamMurad18,"Problem with PH fan boy they so focused on BN.. Same goes to their leaders.. PH leaders don't even have clear vision for the country.. What they keep repeating is only Najib, 1mdb and umno..","Oct 28, 2022"
@AdamTurteltaub,"Nine agencies involved in the Goldman Sachs #1MDB case, including foreign authorities.","Feb 24, 2021"
@AdnanAb91748442,"The harm that Najib has done the nation is not limited to the 1MDB debts, which will take generations to pay off. He has caused investments to plunge, damaged the credibility of almost every national institution, andset himself up as an example for many youth as Bossku.","Mar 21, 2021"
@AdreIdris,"What to earn monthly salary but do nothing? No this is not a scam. It's actually hardwork to act dumb & talk nonsense. BTW don't bother to apply, positions are for the elites and it's filled.
#1MDB #fraud #swindlers","Jun 7, 2022"
@Aff4Fadi,#1mdb  scandal was one of the historic blunder with public of Malaysia carried excercised by frontmen like Jho Low. @NajibRazak stepson Riza Aziz was involved  in parking and connecting his dad silently to crooks in Middle East. 3/4,"Jan 19, 2021"
@AfiqMahadhir,You know how much 1mdb funds stolen worth? You can build another 8 SMART Tunnel in 2022 #1mdb,"Mar 8, 2022"
@Afro_Dreamer,"2. Overdefensive pasal Najib dan 1MDB. Seriously. No explanation needed on this one. Mula-mula pre-PRU 14 defend Najib ok lagi, lepas tu dah kena tangkap, convicted 1st round, 2nd round, sampai FC pun convict, macam mana nak defend?? But some in UMNO still insist on doing so.","Oct 30, 2022"
@Afro_Dreamer,"These are basically what PN supporters are made of. 

Also, PN & BN supporters usually find it very comfortable to switch sides (now) because BN has somewhat rid itself of that 1MDB issue after Najib's conviction.","Nov 4, 2022"
@AgehaBlackageha,1 of the key points for the 2018 elections was the rejection of GST (other than Najib's corruption of the 1MDB). You can't deny historical facts that happened just a few years ago. And you can't say that many Malays didn't reject GST which the GST is horrible for everyone.,"Aug 21, 2021"
@Ahoembawe,Where is Jho Low? #1MDB,"Oct 5, 2022"
@AiZaikhan,What they represents..? 45%? 55%? last GE.? Fear the majority they should… #1MDB #lestweforget,"Mar 22, 2022"
@AimanDrummer,Well LKS did say no problem working with Najib as long as he admits 1MDB is wrong so never say never haha,"Jul 26, 2022"
@AimanIAbdullah,"WHAT IF HIS CONVICTION IS OVERTURNED?

A: Najib's entire defence is that he had no clue about the documents he was signing, nor their implications. He was willfully stupid and unaware of the entire 1MDB fiasco.

So ask yourself, you want this idiot back in office ke?","Nov 18, 2020"
@AimanZahry,"At the rate of the to and fro between courthouse and prison, I wonder if Najib's supporters can keep up. Najib himself once said; rakyat have a 3 week syndrome and recalled he threw the rakyat with another Anwar drama just to take the heat of 1MDB, but Tun was relentless.","Aug 26, 2022"
@AimanZahry,In what universe was he exposing 1MDB? He did it with hopes to remove Najib for his own grabbing of power within UMNO. And when that failed he was kicked out simultaneously and did it to PH instead for PM. Dude would flip graves for profits if he could.,"Nov 28, 2022"
@AimanZahry,No wonder la Rosmah was pushing the insurance scheme under 1MDB. ,"Sep 16, 2022"
@AizadKhair,"We need to remember what transpired when 1MDB scandal broke. Najib sacked everyone who were against him, incl. AG. He will promote his own brand of “law” through narratives & threats. Everyone should stand w the judiciary. Malaysia is at risk of having thugs run the country again","Aug 20, 2022"
@AkaunNasional,KWAP is our sovereignty fund before you trying to say without proves that Najib stole from SF remember that there are many individuals directly/indirectly involved in 1MDB/SRC launderings and one of them is sitting at the top as a chief judge and sentencing and humiliating Najib,"May 18, 2022"
@AlRashidZulkefl,"Those are also similar conversations between me and my European ex-collegues last week.

2 kali aku malu diperingkat International, 2015 & this year. 2015 tu kes 1MDB kepala babi Najib Razak anak beranak.

2021, “sorry,who’s the PM? The one..that fat guy?” Bloody hell.","Jun 27, 2021"
@Alam_Chaudry,Who paid the fines to Chinese in 2008 for selling worthless #CDOs? Wasn’t it Goldman Sachs? And who was found guilty in #1MDB corruption and duplicity case? Goldman Sachs. And you want to trust their data and sources?,"Nov 22, 2022"
@AlawiyahYussof,"Najib knows this. He devised the strategy and it has proven working.

Thus, he used it again.

Unlike the opposition, they kept on playing the corruption including the 1MDB issues which generally did / does not affect ""me"" directly.","Mar 13, 2022"
@AliAhme70978158,Forgot 1MDB aah? He was the Deputy Finance Minister. To Najib,"Nov 25, 2022"
@Alif_Ridzo,But didn’t Husni Hanadzlah is one of the witnesses in Najib’s 1MDB case.. I doubt Najib’s faction will be happy with him..,"Oct 23, 2022"
@Alif_Ridzo,This suggestion is specifically for the core BN supporters who believes that Najib is innocent and 1MDB scandal is a hoax..,"Nov 15, 2022"
@Alisha_ash,And what us your hate of Johnny all about @Variety is it bc his lawyer Adam Waldman exposes Penske media links to #1MDB Malaysian money fraud?,May 17
@Alisha_ash,When are you going to do an article on Penske Media connections to the Malaysian #1MDB money scandal and all the Hollywood players?,May 18
@Alisha_ash,Why don't you write a story about how Penske media is tied up in the #1MDB money scandal. That is more sinister than some little complaint.,Apr 8
@Alphonz45,Now this guy who took 1MDB money from Najib making noise. Feeling lucky not being locked up?,May 4
@Alwardi,"With the recent developments about former BNM governor Zeti Aziz receiving money from 1MDB secretly as well as exposed for lying about Najib based on court hearings, someone should act as her as well","Nov 23, 2021"
@AmandaD18673047,"I just realized that #Malaysia's #1mdb debt that #Najib claimed didn't exists, is almost equivalent to the GDP of some African and South American nations. 

Think for minute, the GDP of a WHOLE country.

Source: Wikipedia","Mar 3, 2022"
@AmeAmirul,Clear UMNO at the same time agreed with the Najib and 1MDB.This is bullshit.,"Nov 12, 2022"
@AmethystChew1,"""SOMEBODY stole a great deal of our money which we paid taxes on.. and it's time we ASSERT they are LIABLE for the crime and they do NOT have sovereign immunity to do with our money as they please."" #1MDB #kapal #KerajaanBangsat #PU15 #GE15","Aug 15, 2022"
@Amir_Azlan,"After what happened with FELDA, LTAT, and 1MDB, I am not convince with any Najib's argument for good corporate governance on Sapura Energy.","May 13, 2022"
@Amir_Azlan,"In both 1MDB and SRC international scandal, he was more than happy to be suck up by Jho Low to receive bribe as much as RM 2.6 Billion for 1MDB and RM 42 million for SRC.  Jho Low and his co. stole billions of dollars as Najib received his bribe from Jho Low.","Aug 27, 2022"
@Amir_Azlan,"Since the agreed amount of 1MDB's first bond in 2009 was RM5 billion, half of that amount goes to Najib's bank account which were RM2.26 billion.","Oct 14, 2022"
@AmolTitus,"The Economic and Social Stabilization Fund of #Chile is a better example for #Indonesia to emulate, rather than the sovereign fund model adopted by #Russia. The #1MDB scandal in #Malaysia shows how negligible #ESG standards of politically managed funds increases risk of losses.","Oct 9, 2020"
@AmyWalters_,"Check out the @sarawak_report , @bradleyhope and @TomWrightAsia 's books and #1MDB reporting. Jho Low essentially took all this Malaysian money and was chillin' with Leonardo DiCaprio, Paris Hilton, buying a massive yacht, hotels, parties, per these reports and DoJ, but...","Jul 22, 2021"
@AmyWalters_,"One of the first deals Jho Low, #1MDB Jho Low, did in the US was with Tom Barrack.  If you don't know, Jho Low is Malaysia's most notorious alleged fraudster.  He's accused of stealing billions of Malaysian public funds. The 1MDB fund specifically.","Jul 22, 2021"
@AmyWalters_,"The US DoJ would describe their response to #1MDB, as the 'largest single action ever brought by the department’s kleptocracy asset recovery initiative.' It was a huge investigation - a big deal. And #JhoLow would end up being a big deal.","Jul 22, 2021"
@AndrewJason89,"Hate to say it but ppl don’t care about 1MDB, Najib etc., anymore. People are concerned with bread & butter issues especially during this pandemic","Mar 13, 2022"
@AnotherErys,Not much to care about when Najib is running around free of all responsibilities as if the 1MDB case never happened…,"May 11, 2022"
@AnujaJayaram,"1MDB was RM 42 billion  in debt when found out. Najib's SRC case centers around RM 42 million frm SRC Int. Roger Ng said USD 1.1bil given to Najib. But its small in the bigger scheme of things, right? No.... might as well refer to Syariah for punishment.",Jun 16
@Arena46258708,"@anwaribrahim  The problem is obviously PKR/PH is not doing the real work. The wave is not there as compared to 2018. Isu 1MDB is everywhere. Most people against Najib. Now looks like, Najib is coming back. he's the victim. @fahmi_fadzil @rafiziramli @n_izzah","Feb 25, 2022"
@Arena46258708,@anwaribrahim Both UMNO and PBBM Logo is blue bcoz it is similar to BN (dacing). 80%  are familiar with the symbol. PH logo is not tested widely & unfamiliar to most. PH won last time bcoz 80% hates Najib (1MDB). This is fact @fahmi_fadzil @rafiziramli,"Oct 3, 2021"
@Ariefied,"""but arief surely with the current shit show by the gov this time the malays will be able to understand that they vote for the wrong person"" remember 1mdb?? ""yeah arief we managed to expelled najib's corrupt government"" no we didn't.","Jul 10, 2021"
@Ariefied,I've read statement defending him saying ohh he has to follow orders from the top. Remember 1mdb and how key officials ignore direct order from najib to try and save the nation from that plundering idiot?,"Oct 19, 2020"
@ArnelliaMatiu,"Dirty Money 
""The man at the top""
#1mdb 
#Netflix 
#najibrazak","Apr 4, 2021"
@Artetaball_49,"Drpd 3 x US$6.5 billion 1MDB bond, artikel ni list kan ke mana duit kena rembat antaranya
1) US$23 million necklace Rosmah
2) Riza Aziz produce The Wolf of Wall Street
3) 5 artworks from Christie’s auction house for US$58.3 million","Mar 24, 2022"
@ArwahJemin,"1. Sidelining their biggest weakness point, Najib.
2. Up the ante on racial issues & get in bed with PAS.
3. Up their Facebook & social media game.
4. Continue to leverage on 22 months PH performance as ""Hancing"".
5. Pretend like nothing happen for issues like 1MDB etc.","Nov 21, 2021"
@ArwahMaklampir,"@heyslideit
 Notion #BerlianRosmah #RosmahMansur #NajibRazak #1MDB #SRC","Mar 25, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #1MDBtrial #JhoLow #Genting #LimFamily,"Mar 25, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #HutangMalaysia #NajibRazak #UMNO #BN #PN,"Mar 11, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #NajibRazak,"May 15, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #NajibRazak #RogerNg #MahkamahUS #JhoLow  #RizaAziz,"Apr 11, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #NajibRazak #UMNOscam #SRC,"Mar 26, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #NorSalwani #RohanaRozhan,"Apr 5, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #Rasuah #UMNO #BN,"Mar 12, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #SRC #NajibRazak #AnwarIbrahim #UMNOscam #NajibTertipu,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #1MDB #TunCarlos #NajibRazak #MahkamahUS,"Apr 10, 2022"
@ArwahMaklampir,@heyslideit Notion #AsyrafWajdi #1MDB #Najib #DemiKestabilanHancingMasaDepan,"Mar 18, 2022"
@ArwahMaklampir,@heyslideit Notion #BerlianRosmah #RosmahMansur #NajibRazak #1MDB #SRC #MahkamahUS,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #BerlianRosmah #RosmahMansur #NajibRazak #JhoLow #1MDB #SRC,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #BerlianRosmah #RosmahMansur #NajibRazak #MahkamahUS #1MDB #JhoLow #SRC,"Mar 26, 2022"
@ArwahMaklampir,@heyslideit Notion #BerlianRosmah #RosmahMansur #NajibRazak #UMNOscam #MahkamahUS #1MDB #SRC,"Mar 25, 2022"
@ArwahMaklampir,@heyslideit Notion #Ismee #NajibRazak #1MDB,"Apr 5, 2022"
@ArwahMaklampir,@heyslideit Notion #JhoLow #1MDBbon #1MDB #NajibRazak #RizaAziz #Najib,"Mar 18, 2022"
@ArwahMaklampir,@heyslideit Notion #JhoLow #NajibRazak #1MDB #ArulKanda,"Apr 4, 2022"
@ArwahMaklampir,@heyslideit Notion #Korupsi #1MDB #KorupsiMalaysia #JhoLow,"Mar 21, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #1MDB #JhoLow #AlJazeera,"Apr 11, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #1MDB #SRC #KemaluanNasional #NationalEmbarrassment #VideoNajib,"Mar 25, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #Mahkamah #1MDB #SRC #FBI,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #Najib #1MDB #1MDBtrial,"Mar 22, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #TakTahu #1MDB #SRC,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #NajibRazak #UMNOscam #TakTahu #1MDB #SRC,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #RafiziRamli #Rafizi #1MDB #Parlimen #ParlimenMalaysia,"Mar 21, 2022"
@ArwahMaklampir,@heyslideit Notion #RosmahMansur #BerlianRosmah #NajibRazak #JhoLow #1MDB #SRC,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit Notion #TonyPua #NajibRazak #ParlimenMalaysia #1MDB,"Mar 23, 2022"
@ArwahMaklampir,@heyslideit Notion #TunFaisal #1MDB #UMNOscam #NajibRazak,"Apr 10, 2022"
@ArwahMaklampir,@heyslideit Notion #VideoZaharin #BerlianRosmah #NajibRazak #1MDB #RosmahMansur #SRC,"Mar 25, 2022"
@ArwahMaklampir,@heyslideit Notion #petrosaudi #1MDB #ArulKanda #NajibRazak,"Apr 5, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #Hutang1MDB #2039,"Mar 17, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #INVOKE #NajibRazak #RafiziRamli,"Apr 6, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #IsmeeIsmail #NajibRazak,"Apr 7, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #MahkamahUS #Tingkat4Boy #TimLeissner #GoldmanSachs #RogerNg,"Apr 10, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #FBI #UMNOscam,"Mar 15, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #JhoLow,"Apr 10, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #MahkamahUS,"Apr 5, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #Najib #Bloomberg #1MDBbon,"Mar 16, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #Najib #UMNOscam,"Mar 15, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #SRC #CaymanIslands #UMNOscam,"Mar 27, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #UMNOscam,"Mar 23, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #NajibRazak #Video #Hutang1MDB,"Jul 22, 2022"
@ArwahMaklampir,@heyslideit notion #1MDB #TRX #NajibRazak #UMNOscam,"Mar 27, 2022"
@ArwahMaklampir,@heyslideit notion #AmbrinBuang #NorSalwani #1MDB #NajibRazak #UMNOscam,"Mar 31, 2022"
@ArwahMaklampir,@heyslideit notion #BerlianRosmah #RosmahMansur #NajibRazak #1MDB #SRC,"Mar 24, 2022"
@ArwahMaklampir,@heyslideit notion #FELDA #NajibRazak #1MDB #BN #UMNO,"Mar 11, 2022"
@ArwahMaklampir,@heyslideit notion #GoldmanSachs #RogerNg #MahkamahUS #1MDB #NajibRazak #RosmahMansur,"Apr 9, 2022"
@ArwahMaklampir,@heyslideit notion #JhoLow #NajibRazak #1MDB #SRC #BakkeSalleh,"Apr 3, 2022"
@ArwahMaklampir,@heyslideit notion #MahkamahUS #1MDB #RogerNg #LimHweeBin #NajibRazak,"Apr 3, 2022"
@ArwahMaklampir,@heyslideit notion #MahkamahUS #1MDB #RogerNg #NajibRazak,"Apr 10, 2022"
@ArwahMaklampir,@heyslideit notion #NajibRazak #Rafizi #1MDB,"Apr 12, 2022"
@ArwahMaklampir,@heyslideit notion #NajibRazak #VideoNajib #1MDB #SRC,"Apr 2, 2022"
@ArwahMaklampir,@heyslideit notion #TabungNajib #ZalehaBujang #KetuaWanitaUMNO #Najib #1MDB,"Mar 17, 2022"
@ArwahMaklampir,@heyslideit notion #Video #najibrazak #1MDB,"Jul 23, 2022"
@ArwenmhEvenstar,This is good. Cuz most still don’t get the connection between how 1MDB debt affects them. Which explains the popularity of Najib.,"Oct 29, 2022"
@Asgn54Malaya,"In the USA, they treat the 1MDB corruption case as a serious matter and the Justice System there shows it. The whole trial took just EIGHT WEEKS there, while in Malaysia it is still ongoing after more than FOUR YEARS. Here in Malaysia, Najib will be coming back with Royal Padron.","May 10, 2022"
@Asgn54Malaya,"Of course, the corrupted Hadi was trying to justify the plundering of RM42 million from SRC International (a subsidiary of 1MDB) by his good friend – Najib Razak – whose unpromising final appeal at the Federal Court could see the former Malaysian leader going to jail.","Aug 23, 2022"
@Asgn54Malaya,This explains why the majority of Malays had voted for Najib's leadership and his corrupted United Malays National Organization (UMNO) in the 2018 General Election despite knowing the disgraced Malay leader had stolen billions from the 1MDB sovereign funds.,"Aug 23, 2022"
@AsiAsirab,"Wasnt he was brought in as deputy Finance minister to help Najib to cover up 1Mdb?
He didnt even speak up previously on the issues he brought up today.",Feb 28
@Asma33114,Can't wait #1MDB,"Nov 23, 2021"
@Asma33114,"Shameless filthy rich begger. He is indeed living up to his #maluapabossku brand
#1mdb","Feb 23, 2022"
@AtanRazib,This ia another unjustified individual hot air version of Najib's ill gotten fund from 1MDB.. looks at the facts of the case not political version from this guy..my advice to all readers.,"Sep 13, 2022"
@AuFaitMY,"By 1st Aug, Zahid will be sentenced . Najib's appeal will be known. LGE's trial will start.
By 25 Jan, appeal court will decide whether umno will be deregistered.
RoS is also studying possibility of deregistering umno for having received 1MDB fund","Jan 12, 2021"
@AwesomeAmeen,how can the result of GE14 be relevant as a measurement tool for this GE15 when the campaign content back in GE14 was mainly about unresolved 1MDB matters and Najib?,"Nov 2, 2022"
@AwesomeRacex,"My personal advice to Malaysia to recover the 1MDB funds is to look for Najib. If he recovers another 10 billion, offer to reduce his term sentence by half ","Oct 24, 2020"
@AzharBerg75,Thanks najib for your 1mdb debt! We will pay for you for the next 10 years ,Mar 16
@AzmawiAzizan,Mahiaddin is the one who question Najib on 1MDB? Your are wrong. It is DSAI who bring this up in Parliament.,"Aug 5, 2021"
@BB_Rebozo,"Is the Najib Razak trial in Malaysia postponed due to Covid, or is that have an actual scheduled start date?  The whole 1MDB story is interesting on all sorts of levels.","Oct 22, 2020"
@BBertawakal,"It is the same SPRM that cleared najib from 1mdb. In addition, there is no such thing as winning interlocutory judgment equivalent to winning the case coz it is just an application from 1 side of the party so as to help the court to hear the case later.","Nov 18, 2022"
@BBertawakal,That's what najib did when  the 1mdb saga was exposed by replacing the then AG Gani Patail with Apandi Ali coz he knew the latter is one of his own that could save his own neck...,"Aug 28, 2022"
@BFMradio,The government has agreed to a settlement of about RM320 million with Deloitte and RM2.8 billion with AmBank in relation to the #1MDB scandal. Is this fair? #BFMPoll #MorningRun,"Mar 4, 2021"
@BIMBSecurities,"Political:
• 1MDB-Tanore trial set to resume Thursday; Najib to commute from prison
• Najib can apply for clemency within 14 days of conviction, but may not stand for election","Aug 25, 2022"
@BIMBSecurities,"Political:
• Najib continues to deny breaches of duties, dishonest assistance, misfeasance, abuse of power in RM42mn SRC suit
• 1MDB gets court order to sentence Jho Low and father to prison for not obeying asset-freezing order","Oct 18, 2022"
