Twitter Username,Post,Date Posted
@LeBarnacle,3-cornered (GE15) vs 2-cornered (PRN) fights and how do you reconcile?,Jun 4
@LilTun11,"Go to hell laa umno grassroots!
GE15 they help their party win so little seats,somemore want to demand!

Let Najib the traitor rot in prison!",Jun 9
@Macopollo74,This is more informative,Jun 7
@McGarmott,"GE15 showed them the possibility that the path to power in Malaysia lies not in the noisy, air-conned halls of Parlimen, but in the comfortingly filtered virtual chamber of social media.

There is nothing for PN in Parlimen anymore, except to be hijacked as a theatrical stage.",Jun 6
@PammellaJo,"she said its better if v the nons, liberals, the rationals the minorities together build a country on our own..separate frm them..like singapore..v made it happen in ge15..if v can make ph win..only wit our votes y nt v do this..thgs cant continue to b like this..",3h
@SathishSarma,"PH especially PKR should learn that no matter what they do PAS voters are not gonna change their votes. Especially it has been just around 6 to 7 months since GE15. Their political affiliation will not change in this short time.

PH should focus on governance.",Jun 12
@Terence5000,Is he still smoking pot or he failed maths big time during his schooling days ? …. Even a 1st grader knows PH had the most seats in GE15.,Jun 4
@VurichDhu,Mind when you were on the stage at Bloomberg’s for the launch of your party’s ultra-lame Business Manifesto for GE15. I overheard a current shadow minister whisper to her pal that you looked hungover. I just thought you were crap … which one of us was right?,Jun 5
@a_ge15,𝑩𝑰𝑮 𝑳𝑶𝑽𝑬______,Jun 6
@albert70x7,"And the LORD brought Abram outside and said, “Look toward heaven, and number the stars, if you are able to number them.” Then He said to him, “So shall your offspring be.” And he believed the LORD, and He counted it to him as righteousness. 
Ge15:5-6",Jun 8
@alphaque,"Given that a very very large majority of non-Muslims voted PH, this is exactly what they want and deserve. 

Should have thought of the consequences before GE15, innit?

Now just sit back and enjoy what has been reaped.",Jun 12
@alphaque,"Y'all. The PH simps from before GE15. 

You promised to. Remember you said you'd vote them out if they didnt perform ?",14h
@cancerdiariesMY,"Served as PACA in two GEs to ensure every voter gets their right to vote in a clean and fair election. 

Volunteered in the dissemination of useful and accurate info to overseas Malaysian voters during GE15, as well as  ongoing efforts to educate voters about governance.",Jun 4
@emerhafiz,"it would be delusional to think that UMNO supporters unwilling to support PH especially when the other alternative (PN) is no less corrupted. 1/2 of the supporters protesting in GE15 voted PN, the other 1/2 remained loyal, will stay loyal & will vote BN-PH definitely",Jun 7
@imfsea_aruna,"Kudos...DJ KJ 
@Khairykj
 may join Bersatu and condemn UMNO. 
I can't think of any other valid reasons as to why DJ KJ may  join Bersatu which is a party full of traitors and betrayers. 
He is partyless and was defeated in GE15. 
It's like a vagabond seeking shelter.
Good luck",Jun 10
@jezlai,DAP Lim Guan Eng during GE15 campaign said if PH be the federal govt all highways tols be abolished. Apa macam Anwar dan Anthony Loke kenapa rakyat masih kena bayar tol?,6h
@jezlai,"This type of simply statement by Anwar truly disappoint PH voters in GE15 who trusted PH & Anwar to make immediate changes based on PH Manifesto and Promises made by Anwar, Rafizi, LKS, LGE, Sabu & PH leaders once Anwar is PM.

Hey Anwar & PH is this called a reformist statement?",Jun 9
@kahunashowz,"They mostly either support GPS or PH, either one (before GE15) same goes to other Races such as the Local Bumiputeras Iban,Bidayuh,Kayan, Kenyah,Penan,Melanau and Such, Chinese as well.",Jun 9
@kevleety1,UMNO doesn't seem to understand that they are the ones that needs the votes from DAP supporters. Have they forgotten how badly they got trashed in GE15? So why the arrogance here? And I totally agree that DAP can take care of themselves. It is you that require the support of DAP.,Jun 9
@lfc_eddie,Actions were not taken against them when they were spewing all kinds of hate during GE15 and also when they were in power. Did that dent their chances of winning or elevate their standing as party who has the guts to champion the rights of the majority?,Jun 7
@mark__99__,"Because someone agreed to join force with PN after GE15, thinking that he could finally be Deputy Prime Minister, kakaka.",16h
@sayyedalifkhan,GE15 was a very unusual and unexpected outcome. The blessing is that it's a PH/UMNO Govt and not PN or PH/PN Govt  which if it was it will be acromonius. PH has to steer through a fine line to keep this Govt in place and compromises are to be expected to get to the bigger picture,Jun 9
@zach1ZA,"Actually the whole “PM shud not b Finance Minister” is a GE14 manifesto promise
GE15 Tawaran Harapan offers no such thing

Besides, there was no 1MDB like scandal whn Anwar was FM back in the 90s
Lu pengkhianat got no moral standin 2 critcise anyways",Jun 5
@zach1ZA,"Mat sakau’s money politics n his bosskur persona is so deeply entrenched in UMNO’s psyche tht they can’t move on frm him 

This is further reinforced how he delivered 2/3 majority at Melaka n Johor but once he’s in jail, UMNO had its worst defeat ever in GE15",Jun 9
@zskklaus,Still defending your decision after the most damaging and worst lost in GE15? You’re as blur as ever.,Jun 10
@zskklaus,The last time I checked it was you who bungkus in GE15…… Are you still high?,Jun 6
